"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Service","Service.OrderID","Service.OrderID","","","",0,1,"","","","http://fhir.ch/ig/ch-alis-connect/StructureDefinition/Text {[]} {[]}
","3.4, Auftragsnummer, Max. 64 Zeichen, GUID (global universal identification) Alphanum., jeweils auf ebene Leistung mitsenden), Optional","3.4, Auftragsnummer, Max. 64 Zeichen, GUID (global universal identification) Alphanum., jeweils auf ebene Leistung mitsenden), Optional","","","","","","","","","",,,,,"",,,,"Service.OrderID",0,1,"",""
"Service","Service.OrderDate","Service.OrderDate","","","",0,1,"","","","http://fhir.ch/ig/ch-alis-connect/StructureDefinition/DateTime {[]} {[]}
","3.5 (*) Datum, Zeit des Auftrags für Laborleistungen falls nicht Leistungszuordnung gemäss Tarifvertrag Anhang B, Kapitel 4","3.5 (*) Datum, Zeit des Auftrags für Laborleistungen falls nicht Leistungszuordnung gemäss Tarifvertrag Anhang B, Kapitel 4","","","","","","","","","",,,,,"",,,,"Service.OrderDate",0,1,"",""
"Service","Service.ReferrerID","Service.ReferrerID","","","",0,1,"","","","http://fhir.ch/ig/ch-alis-connect/StructureDefinition/Text {[]} {[]}
","3.6, Auftraggebende Kostenstelle, Max. 50 Zeichen, Der Empfänger bestimmt die auftraggebende Kostenstelle, Optional","3.6, Auftraggebende Kostenstelle, Max. 50 Zeichen, Der Empfänger bestimmt die auftraggebende Kostenstelle, Optional","","","","","","","","","",,,,,"",,,,"Service.ReferrerID",0,1,"",""
"Service","Service.ServiceType","Service.ServiceType","","","",0,1,"","","","http://fhir.ch/ig/ch-alis-connect/StructureDefinition/Text {[]} {[]}
","3.7, Katalog, 20 Zeichen, Spezifikation, Zwischen den Partnern zu vereinbaren","3.7, Katalog, 20 Zeichen, Spezifikation, Zwischen den Partnern zu vereinbaren","","","","","","","","","",,,,,"",,,,"Service.ServiceType",0,1,"",""
"Service","Service.ServiceItem","Service.ServiceItem","","","",1,1,"","","","http://fhir.ch/ig/ch-alis-connect/StructureDefinition/Text {[]} {[]}
","3.8, Tarifposition, Alphanum. 20 Zeichen, Nummer (Identifikation der Leistung, LKAAT, AL, interner Katalog), Obligatorisch","3.8, Tarifposition, Alphanum. 20 Zeichen, Nummer (Identifikation der Leistung, LKAAT, AL, interner Katalog), Obligatorisch","","","","","","","","","",,,,,"",,,,"Service.ServiceItem",1,1,"",""
"Service","Service.Form","Service.Form","","","",0,1,"","","","http://fhir.ch/ig/ch-alis-connect/StructureDefinition/Text {[]} {[]}
","3.9, Formular, Alphanum. 20 Zeichen, Text, Formularbezeichnung, Optional","3.9, Formular, Alphanum. 20 Zeichen, Text, Formularbezeichnung, Optional","","","","","","","","","",,,,,"",,,,"Service.Form",0,1,"",""
"Service","Service.EnteredDateTime","Service.EnteredDateTime","","","",0,1,"","","","http://fhir.ch/ig/ch-alis-connect/StructureDefinition/DateTime {[]} {[]}
","3.10, Erfassungsdatum, XML-Format Datetime, Datum, Zeit der Erfassung der Leistungserfassung, Optional","3.10, Erfassungsdatum, XML-Format Datetime, Datum, Zeit der Erfassung der Leistungserfassung, Optional","","","","","","","","","",,,,,"",,,,"Service.EnteredDateTime",0,1,"",""
"Service","Service.ProviderID","Service.ProviderID","","","",0,1,"","","","http://fhir.ch/ig/ch-alis-connect/StructureDefinition/Text {[]} {[]}
","3.11, Erbringende Organisation, Kostenstelle / Organisation; Text oder ID, Zwischen den Partnern zu vereinbaren","3.11, Erbringende Organisation, Kostenstelle / Organisation; Text oder ID, Zwischen den Partnern zu vereinbaren","","","","","","","","","",,,,,"",,,,"Service.ProviderID",0,1,"",""
"Service","Service.SectionCode","Service.SectionCode","","","",0,1,"","","","http://fhir.ch/ig/ch-alis-connect/StructureDefinition/Text {[]} {[]}
","3.12 (*), Fachbereich, Alphanum, Max. 9 Zeichen, Optional, Fachbereich gemäss OAAT Reglement Fachbereiche","3.12 (*), Fachbereich, Alphanum, Max. 9 Zeichen, Optional, Fachbereich gemäss OAAT Reglement Fachbereiche","","","","","","","","","",,,,,"",,,,"Service.SectionCode",0,1,"",""
"Service","Service.EnteredBy","Service.EnteredBy","","","",0,1,"","","","http://fhir.ch/ig/ch-alis-connect/StructureDefinition/Text {[]} {[]}
","3.13, Erfasser, Text oder ID,","3.13, Erfasser, Text oder ID,","","","","","","","","","",,,,,"",,,,"Service.EnteredBy",0,1,"",""
"Service","Service.ItemNumber","Service.ItemNumber","","","",0,1,"","","","http://fhir.ch/ig/ch-alis-connect/StructureDefinition/Text {[]} {[]}
","3.14, Laufnummer, Alphanum. Max. 64 Zeichen, Wird jeder erbrachten Leistung mitgegeben, Optional","3.14, Laufnummer, Alphanum. Max. 64 Zeichen, Wird jeder erbrachten Leistung mitgegeben, Optional","","","","","","","","","",,,,,"",,,,"Service.ItemNumber",0,1,"",""
"Service","Service.RefItemNumber","Service.RefItemNumber","","","",0,1,"","","","http://fhir.ch/ig/ch-alis-connect/StructureDefinition/Text {[]} {[]}
","3.15, Referenz Laufnummer zu Hauptleistung, Format von Pos. 3.11, Nur bei Nebenleistungen notwendig, Optional","3.15, Referenz Laufnummer zu Hauptleistung, Format von Pos. 3.11, Nur bei Nebenleistungen notwendig, Optional","","","","","","","","","",,,,,"",,,,"Service.RefItemNumber",0,1,"",""
"Service","Service.Quantity","Service.Quantity","","","",1,1,"","","","http://fhir.ch/ig/ch-alis-connect/StructureDefinition/Decimal {[]} {[]}
","3.16, Anzahl, Numerisch (Dezimal, d.h. Nachkommastellen sind möglich), eine negative Leistung ist möglich (+ / -), gebrochene Werte müssen beim Import in Systeme die nur ganzzahlige Mengen akzeptieren mit dem Wert aus dem Parameter <NumberofParticipants> auf eine ganze Zahl umgerechnet werden, Obligat; negative Werte sind zu vereinbaren","3.16, Anzahl, Numerisch (Dezimal, d.h. Nachkommastellen sind möglich), eine negative Leistung ist möglich (+ / -), gebrochene Werte müssen beim Import in Systeme die nur ganzzahlige Mengen akzeptieren mit dem Wert aus dem Parameter <NumberofParticipants> auf eine ganze Zahl umgerechnet werden, Obligat; negative Werte sind zu vereinbaren","","","","","","","","","",,,,,"",,,,"Service.Quantity",1,1,"",""
"Service","Service.TPValue","Service.TPValue","","","",0,1,"","","","http://fhir.ch/ig/ch-alis-connect/StructureDefinition/Decimal {[]} {[]}
","3.17 (*) Taxpunktwert, Numerisch (Dezimal), TP-Wert der Leistung	Optional","3.17 (*) Taxpunktwert, Numerisch (Dezimal), TP-Wert der Leistung	Optional","","","","","","","","","",,,,,"",,,,"Service.TPValue",0,1,"",""
"Service","Service.ServiceItemErrorCode","Service.ServiceItemErrorCode","","","",0,1,"","","","http://fhir.ch/ig/ch-alis-connect/StructureDefinition/Text {[]} {[]}
","3.18, Fehlercode, Alphanum., Fehlertabelle bei unbekanntem Feldinhalt, inkorrekten Werten etc., Optional","3.18, Fehlercode, Alphanum., Fehlertabelle bei unbekanntem Feldinhalt, inkorrekten Werten etc., Optional","","","","","","","","","",,,,,"",,,,"Service.ServiceItemErrorCode",0,1,"",""
"Service","Service.SessionSectionB","Service.SessionSectionB","","","",0,1,"","","","http://fhir.ch/ig/ch-alis-connect/StructureDefinition/SessionSectionB {[]} {[]}
","3.19 (*) Sitzungsinfo nach Anhang B des Tarifs (tarifarische Sitzung) Verwendung nur wenn SessionID 3.2 nicht verwendet wird","3.19 (*) Sitzungsinfo nach Anhang B des Tarifs (tarifarische Sitzung) Verwendung nur wenn SessionID 3.2 nicht verwendet wird","","","","","","","","","",,,,,"",,,,"Service.SessionSectionB",0,1,"",""
"Service","Service.Diagnosis","Service.Diagnosis","","","",0,1,"","","","http://fhir.ch/ig/ch-alis-connect/StructureDefinition/Diagnosis {[]} {[]}
","3.20 (*) Diagnose, Optional","3.20 (*) Diagnose, Optional","","","","","","","","","",,,,,"",,,,"Service.Diagnosis",0,1,"",""
"Service","Service.ServiceAssignment","Service.ServiceAssignment","","","",0,1,"","","","http://fhir.ch/ig/ch-alis-connect/StructureDefinition/ServiceAssignment {[]} {[]}
","3.21 (*) Leistungszuordnung Zuordnung von Labor-, Pathologie- oder Berichtsleistungen gemäss Tarifvertrag Anhang B, Kapitel 4","3.21 (*) Leistungszuordnung Zuordnung von Labor-, Pathologie- oder Berichtsleistungen gemäss Tarifvertrag Anhang B, Kapitel 4","","","","","","","","","",,,,,"",,,,"Service.ServiceAssignment",0,1,"",""
"Service","Service.PersonV40","Service.PersonV40","","","",0,*,"","","","http://fhir.ch/ig/ch-alis-connect/StructureDefinition/PersonV40 {[]} {[]}
","3.22, PersonV40, Optional (0,N)","3.22, PersonV40, Optional (0,N)","","","","","","","","","",,,,,"",,,,"Service.PersonV40",0,*,"",""
"Service","Service.ParameterV40","Service.ParameterV40","","","",0,*,"","","","http://fhir.ch/ig/ch-alis-connect/StructureDefinition/ParameterV40 {[]} {[]}
","4, ParameterV40, Optional (0,N)","4, ParameterV40, Optional (0,N)","","","","","","","","","",,,,,"",,,,"Service.ParameterV40",0,*,"",""
