/Users/oegger/Documents/github/ig-release/buildtmp/ch.fhir.ig.ch-etoc#2.0.0-ballot-milestone/fsh-generated/resources/AllergyIntolerance-AllergyIntolerance.json: line 9, col 4, Warning - No code provided, and a code should be provided from the value set 'CHAllergyIntoleranceValueSet' (http://fhir.ch/ig/ch-allergyintolerance/ValueSet/CHAllergyIntoleranceValueSet|2.0.0-ballot) (CODEINVALID)
/Users/oegger/Documents/github/ig-release/buildtmp/ch.fhir.ig.ch-etoc#2.0.0-ballot-milestone/fsh-generated/resources/Bundle-DocumentEtoc.json: line 4214, col 6, Info - This element does not match any known slice defined in the profile http://fhir.ch/ig/ch-etoc/StructureDefinition/ch-etoc-document|2.0.0-ballot (INFORMATIONAL)
/Users/oegger/Documents/github/ig-release/buildtmp/ch.fhir.ig.ch-etoc#2.0.0-ballot-milestone/fsh-generated/resources/Bundle-DocumentEtoc.json: line 4243, col 6, Info - This element does not match any known slice defined in the profile http://fhir.ch/ig/ch-etoc/StructureDefinition/ch-etoc-document|2.0.0-ballot (INFORMATIONAL)
/Users/oegger/Documents/github/ig-release/buildtmp/ch.fhir.ig.ch-etoc#2.0.0-ballot-milestone/fsh-generated/resources/Bundle-DocumentEtoc.json: line 4272, col 6, Info - This element does not match any known slice defined in the profile http://fhir.ch/ig/ch-etoc/StructureDefinition/ch-etoc-document|2.0.0-ballot (INFORMATIONAL)
/Users/oegger/Documents/github/ig-release/buildtmp/ch.fhir.ig.ch-etoc#2.0.0-ballot-milestone/fsh-generated/resources/Bundle-DocumentEtoc.json: line 4301, col 6, Info - This element does not match any known slice defined in the profile http://fhir.ch/ig/ch-etoc/StructureDefinition/ch-etoc-document|2.0.0-ballot (INFORMATIONAL)
/Users/oegger/Documents/github/ig-release/buildtmp/ch.fhir.ig.ch-etoc#2.0.0-ballot-milestone/fsh-generated/resources/Bundle-DocumentEtoc.json: line 4342, col 6, Info - This element does not match any known slice defined in the profile http://fhir.ch/ig/ch-etoc/StructureDefinition/ch-etoc-document|2.0.0-ballot (INFORMATIONAL)
/Users/oegger/Documents/github/ig-release/buildtmp/ch.fhir.ig.ch-etoc#2.0.0-ballot-milestone/fsh-generated/resources/Bundle-DocumentEtoc.json: line 124, col 12, Info - This element does not match any known slice defined in the profile http://fhir.ch/ig/ch-orf/StructureDefinition/ch-orf-questionnaire|2.0.0-ballot (INFORMATIONAL)
/Users/oegger/Documents/github/ig-release/buildtmp/ch.fhir.ig.ch-etoc#2.0.0-ballot-milestone/fsh-generated/resources/Bundle-DocumentEtoc.json: line 128, col 12, Info - This element does not match any known slice defined in the profile http://fhir.ch/ig/ch-orf/StructureDefinition/ch-orf-questionnaire|2.0.0-ballot (INFORMATIONAL)
/Users/oegger/Documents/github/ig-release/buildtmp/ch.fhir.ig.ch-etoc#2.0.0-ballot-milestone/fsh-generated/resources/Bundle-DocumentEtoc.json: line 132, col 12, Info - This element does not match any known slice defined in the profile http://fhir.ch/ig/ch-orf/StructureDefinition/ch-orf-questionnaire|2.0.0-ballot (INFORMATIONAL)
/Users/oegger/Documents/github/ig-release/buildtmp/ch.fhir.ig.ch-etoc#2.0.0-ballot-milestone/fsh-generated/resources/Bundle-DocumentEtoc.json: line 136, col 12, Info - This element does not match any known slice defined in the profile http://fhir.ch/ig/ch-orf/StructureDefinition/ch-orf-questionnaire|2.0.0-ballot (INFORMATIONAL)
/Users/oegger/Documents/github/ig-release/buildtmp/ch.fhir.ig.ch-etoc#2.0.0-ballot-milestone/fsh-generated/resources/Bundle-DocumentEtoc.json: line 140, col 12, Info - This element does not match any known slice defined in the profile http://fhir.ch/ig/ch-orf/StructureDefinition/ch-orf-questionnaire|2.0.0-ballot (INFORMATIONAL)
